Text,Sentiment
I love this product,1
This is amazing,1
Great experience,1
Excellent service,1
I'm very happy with my purchase,1
This is the best thing ever,1
Wonderful customer support,1
I'm satisfied with the results,1
This exceeded my expectations,1
I'm impressed with the quality,1
I hate this product,0
This is terrible,0
Poor experience,0
Awful service,0
I'm very disappointed with my purchase,0
This is the worst thing ever,0
Horrible customer support,0
I'm unsatisfied with the results,0
This failed to meet my expectations,0
I'm unimpressed with the quality,0 